============================================================
  Density — SİSTEM LOGLARI
  Kamera  : cam3
  Tarih   : 2026-06-16
  Açıldı  : 2026-06-16 00:00:02
============================================================

[2026-06-16 00:00:02] [SYS] YENİ GÜN: 2026-06-15 -> 2026-06-16
[2026-06-16 10:55:35] [DBG] [PERF] FPS=0.5 YOLO=21ms Buf=0/30 Drop=0
[2026-06-16 10:56:06] [DBG] [PERF] FPS=0.5 YOLO=11ms Buf=0/30 Drop=0
[2026-06-16 10:56:36] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:57:07] [DBG] [PERF] FPS=0.5 YOLO=11ms Buf=0/30 Drop=0
[2026-06-16 10:57:38] [DBG] [PERF] FPS=0.5 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 10:58:08] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:58:39] [DBG] [PERF] FPS=0.5 YOLO=20ms Buf=0/30 Drop=0
[2026-06-16 10:59:10] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:59:40] [DBG] [PERF] FPS=0.5 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 11:00:00] [DBG] Sonraki rapor: 12:00
[2026-06-16 11:00:11] [DBG] [PERF] FPS=0.5 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 11:00:19] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 11:00:41] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:01:12] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 11:01:42] [DBG] [PERF] FPS=0.5 YOLO=20ms Buf=0/30 Drop=0
[2026-06-16 11:02:13] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:02:44] [DBG] [PERF] FPS=0.5 YOLO=19ms Buf=0/30 Drop=0
[2026-06-16 11:03:14] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 11:03:45] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:04:16] [DBG] [PERF] FPS=0.5 YOLO=10ms Buf=0/30 Drop=0
[2026-06-16 11:04:46] [DBG] [PERF] FPS=0.5 YOLO=23ms Buf=0/30 Drop=0
[2026-06-16 11:05:17] [DBG] [PERF] FPS=0.5 YOLO=11ms Buf=0/30 Drop=0
[2026-06-16 11:05:21] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 11:05:47] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:06:18] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:06:48] [DBG] [PERF] FPS=0.5 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 11:07:19] [DBG] [PERF] FPS=0.5 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 11:07:50] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
