[2026-03-14 14:25:00] [API-ISTEK] Saat=2026-03-14T11:24:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:26:00] [API-ISTEK] Saat=2026-03-14T11:25:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:26:00] [API-ISTEK] Saat=2026-03-14T11:25:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:27:00] [API-ISTEK] Saat=2026-03-14T11:26:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:27:00] [API-ISTEK] Saat=2026-03-14T11:26:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:28:00] [API-ISTEK] Saat=2026-03-14T11:27:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:28:00] [API-ISTEK] Saat=2026-03-14T11:27:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:29:00] [API-ISTEK] Saat=2026-03-14T11:28:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:29:00] [API-ISTEK] Saat=2026-03-14T11:28:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:30:00] [API-ISTEK] Saat=2026-03-14T11:29:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:30:00] [API-ISTEK] Saat=2026-03-14T11:29:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:31:00] [API-ISTEK] Saat=2026-03-14T11:30:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:32:00] [API-ISTEK] Saat=2026-03-14T11:31:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:32:00] [API-ISTEK] Saat=2026-03-14T11:31:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:33:00] [API-ISTEK] Saat=2026-03-14T11:32:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:33:00] [API-ISTEK] Saat=2026-03-14T11:32:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:34:00] [API-ISTEK] Saat=2026-03-14T11:33:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:34:00] [API-ISTEK] Saat=2026-03-14T11:33:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:35:00] [API-ISTEK] Saat=2026-03-14T11:34:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:35:00] [API-ISTEK] Saat=2026-03-14T11:34:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:36:00] [API-ISTEK] Saat=2026-03-14T11:35:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:36:00] [API-ISTEK] Saat=2026-03-14T11:35:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:37:00] [API-ISTEK] Saat=2026-03-14T11:36:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:37:00] [API-ISTEK] Saat=2026-03-14T11:36:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:38:00] [API-ISTEK] Saat=2026-03-14T11:37:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:38:00] [API-ISTEK] Saat=2026-03-14T11:37:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:39:00] [API-ISTEK] Saat=2026-03-14T11:38:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:39:00] [API-ISTEK] Saat=2026-03-14T11:38:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:40:00] [API-ISTEK] Saat=2026-03-14T11:39:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:40:00] [API-ISTEK] Saat=2026-03-14T11:39:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:41:00] [API-ISTEK] Saat=2026-03-14T11:40:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:41:00] [API-ISTEK] Saat=2026-03-14T11:40:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:42:00] [API-ISTEK] Saat=2026-03-14T11:41:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:42:00] [API-ISTEK] Saat=2026-03-14T11:41:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:43:00] [API-ISTEK] Saat=2026-03-14T11:42:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:43:00] [API-ISTEK] Saat=2026-03-14T11:42:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:44:00] [API-ISTEK] Saat=2026-03-14T11:43:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:45:00] [API-ISTEK] Saat=2026-03-14T11:44:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:45:00] [API-ISTEK] Saat=2026-03-14T11:44:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:46:00] [API-ISTEK] Saat=2026-03-14T11:45:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:46:00] [API-ISTEK] Saat=2026-03-14T11:45:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:47:00] [API-ISTEK] Saat=2026-03-14T11:46:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:47:00] [API-ISTEK] Saat=2026-03-14T11:46:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:48:00] [API-ISTEK] Saat=2026-03-14T11:47:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:48:00] [API-ISTEK] Saat=2026-03-14T11:47:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:49:00] [API-ISTEK] Saat=2026-03-14T11:48:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:49:00] [API-ISTEK] Saat=2026-03-14T11:48:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:50:00] [API-ISTEK] Saat=2026-03-14T11:49:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:50:00] [API-ISTEK] Saat=2026-03-14T11:49:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:51:00] [API-ISTEK] Saat=2026-03-14T11:50:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:51:00] [API-ISTEK] Saat=2026-03-14T11:50:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:52:00] [API-ISTEK] Saat=2026-03-14T11:51:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:52:00] [API-ISTEK] Saat=2026-03-14T11:51:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:53:00] [API-ISTEK] Saat=2026-03-14T11:52:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:53:00] [API-ISTEK] Saat=2026-03-14T11:52:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:54:00] [API-ISTEK] Saat=2026-03-14T11:53:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:54:00] [API-ISTEK] Saat=2026-03-14T11:53:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:55:00] [API-ISTEK] Saat=2026-03-14T11:54:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:55:00] [API-ISTEK] Saat=2026-03-14T11:54:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:56:00] [API-ISTEK] Saat=2026-03-14T11:55:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:56:00] [API-ISTEK] Saat=2026-03-14T11:55:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:57:00] [API-ISTEK] Saat=2026-03-14T11:56:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:57:00] [API-ISTEK] Saat=2026-03-14T11:56:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:58:00] [API-ISTEK] Saat=2026-03-14T11:57:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:58:00] [API-ISTEK] Saat=2026-03-14T11:57:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:59:00] [API-ISTEK] Saat=2026-03-14T11:58:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:59:00] [API-ISTEK] Saat=2026-03-14T11:58:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 15:00:00] [API-ISTEK] Saat=2026-03-14T11:59:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 15:01:00] [API-ISTEK] Saat=2026-03-14T12:00:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 15:01:00] [API-ISTEK] Saat=2026-03-14T12:00:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 15:02:00] [API-ISTEK] Saat=2026-03-14T12:01:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 15:02:00] [API-ISTEK] Saat=2026-03-14T12:01:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 15:03:00] [API-ISTEK] Saat=2026-03-14T12:02:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
